iso3,country_name,capital,continent,region,hemisphere,landlocked,island_nation,land_area_km2,un_member,eu_member,oecd_member,nato_member,g20_member,commonwealth_member,opec_member,primary_language_family,income_group,gdp_per_capita_ppp,gdp_tier,unemployment_rate,industry_pct_gdp,services_pct_gdp,agriculture_pct_gdp,economic_structure,rd_expenditure_pct_gdp,inflation_pct,population_total,population_tier,population_density,density_tier,population_growth_pct,urban_population_pct,urbanization_tier,fertility_rate,fertility_tier,pop_65_plus_pct,aging_tier,life_expectancy,life_expectancy_tier,infant_mortality,health_expenditure_pct_gdp,education_expenditure_pct_gdp,internet_users_pct,internet_tier,electricity_access_pct,imputed_fields_count
ABW,Aruba,Oranjestad,Americas,Caribbean,Northern,0,1,180,0,0,0,0,0,0,0,Indo-European,High income,50649.3015232212,High,7.5725,9.73591736419981,79.0035997315605,0.0342144315332219,Service-dominant,0.39205,4.25746204335427,107995.0,Tiny,596.438888888889,Very-dense,0.590657103226071,61.7909396819594,Urban,1.606,Below-replacement,17.0563223230356,Aged,76.5,High,9.1,7.19602823,3.61855755636695,97.17,Very-high,100.0,4
AFG,Afghanistan,Kabul,Asia,Southern Asia,Northern,1,0,652230,1,0,0,0,0,0,0,Indo-European,Low income,2201.72290691677,Low,13.687,13.4498227120978,46.3743698691993,34.7432471445174,Agriculture-significant,0.04217,-6.60118564073725,42647492.0,Medium,63.5585008355948,Moderate,2.83657317243522,25.7007352636188,Rural,4.761,High,2.400970026561,Young,66.289,Medium,48.3,14.9857626,4.34319019317627,16.09499931,Low,85.3,1
AGO,Angola,Luanda,Africa,Middle Africa,Southern,0,0,1246700,1,0,0,0,0,0,0,Niger-Congo,Lower middle income,10118.6089945408,Lower-middle,14.02,34.56731745622,41.0551859909358,22.0693262844667,Agriculture-significant,0.03229,28.2404948915772,37885849.0,Medium,29.4777460495709,Sparse,3.04419972245653,70.6551379036435,Urban,5.048,Very-high,2.85242119224488,Young,64.805,Medium,32.1,2.54692864,2.51273663315785,40.70479965,Medium,51.1,0
ALB,Albania,Tirane,Europe,Southern Europe,Northern,0,0,28748,1,0,0,1,0,0,0,Indo-European,Upper middle income,26701.6749563776,Upper-middle,10.689,22.4011031082403,48.6899937474805,15.4519031294331,Agriculture-significant,0.19997,2.21587375089991,2377128.0,Small,88.1056569343066,Moderate,-1.54314393524594,58.5463634043555,Mixed,1.341,Below-replacement,16.922756199529,Aged,79.776,Very-high,8.3,7.05240345,3.09153008460998,85.86389923,High,100.0,0
AND,Andorra,Andorra la Vella,Europe,Southern Europe,Northern,1,0,468,1,0,0,0,0,0,0,Indo-European,High income,74939.4746038578,High,5.25,12.7530228782248,77.5890386001388,0.46592379640818,Service-dominant,0.15818,2.593769093427775,81938.0,Tiny,172.034042553191,Dense,1.32930689449906,88.8850044816278,Hyper-urban,1.087,Below-replacement,15.9456903127384,Aged,84.188,Very-high,2.4,7.69928026,1.89867997169495,94.39759827,Very-high,100.0,2
ARE,United Arab Emirates,Abu Dhabi,Asia,Western Asia,Northern,0,0,83600,1,0,0,0,0,0,1,Afro-Asiatic,High income,79228.738801276,High,2.16,44.3292859984628,54.9012947560482,0.769419245488961,Industry-heavy,1.49469,1.66336510224894,10986400.0,Medium,147.616882568291,Moderate,4.68316095317394,85.8171088279791,Hyper-urban,1.213,Below-replacement,1.76696037563358,Young,83.069,Very-high,3.8,4.97095108,3.89404010772705,100.0,Very-high,100.0,0
ARG,Argentina,Buenos Aires,Americas,South America,Southern,0,0,2780400,1,0,0,0,1,0,0,Indo-European,Upper middle income,30431.1931223693,Upper-middle,7.15,23.9965975604249,53.6514046050424,5.80601710915959,Mixed,0.60111,219.883929014578,45696159.0,Medium,16.6399559321662,Sparse,0.345829819817895,92.2742315972952,Hyper-urban,1.504,Below-replacement,12.4160041547474,Mature,77.543,High,8.0,10.2695179,5.00324010848999,89.66715228,High,100.0,0
ARM,Armenia,Yerevan,Asia,Western Asia,Northern,1,0,29743,1,0,0,0,0,0,0,Indo-European,Upper middle income,22823.1795255693,Upper-middle,12.405,22.8570663651858,61.9893697453885,7.80588621754673,Service-dominant,0.2861,0.269511978259125,3033500.0,Small,105.119108748259,Moderate,2.30761515133256,65.8113671449901,Urban,1.7,Below-replacement,13.7027691969357,Mature,78.319512195122,Very-high,8.5,9.32119179,2.43869996070862,81.33930206,High,100.0,0
ATG,Antigua and Barbuda,Saint John's,Americas,Caribbean,Northern,0,1,442,1,0,0,0,0,1,0,Indo-European,High income,33386.1917127894,Upper-middle,7.5725,18.9871150486925,69.0617140789051,1.94326780682544,Service-dominant,0.39205,6.19886698842115,93772.0,Tiny,212.081818181818,Dense,0.487472101887911,24.3906919254799,Rural,1.582,Below-replacement,11.7844974219246,Mature,77.766,High,7.0,3.91348195,3.10505161832136,72.73040009,High,100.0,2
AUS,Australia,Canberra,Oceania,Australia and New Zealand,Southern,0,1,7692024,1,0,1,0,1,1,0,Indo-European,High income,72111.1844628126,High,3.942,25.5307319894404,66.1399054113301,2.03565265249391,Service-dominant,1.85783,3.16656665428797,27196812.0,Medium,3.46591948538875,Sparse,1.99383715356028,87.6021469990446,Hyper-urban,1.481,Below-replacement,17.7300159228367,Aged,83.0512195121951,Very-high,3.1,10.39852047,5.05915021896362,96.13140106,Very-high,100.0,0
AUT,Austria,Vienna,Europe,Western Europe,Northern,1,0,83871,1,1,1,0,0,0,0,Indo-European,High income,73911.439663136,High,5.2,24.5834201904085,63.9706809373681,1.21663375792448,Service-dominant,3.25517,2.93791574279375,9177982.0,Small,110.661185167232,Moderate,0.504879813795986,69.4658181096788,Urban,1.31,Below-replacement,20.6064031791903,Super-aged,81.9951219512195,Very-high,2.8,11.8325634,5.27749013900757,94.91974877,Very-high,100.0,0
AZE,Azerbaijan,Baku,Asia,Western Asia,Northern,1,0,86600,1,0,0,0,0,0,0,Turkic,Upper middle income,25088.9993757134,Upper-middle,5.648,42.6119822379825,42.3163443805061,5.65717090005303,Industry-heavy,0.20778,2.21217188919901,10202830.0,Medium,122.854906231095,Moderate,0.480155257252915,58.573795837717,Mixed,1.43,Below-replacement,8.5557671289167,Maturing,74.576,High,12.5,4.27113533,3.66036009788513,90.43979645,Very-high,100.0,0
BDI,Burundi,Bujumbura,Africa,Eastern Africa,Southern,1,0,27834,1,0,0,0,0,0,0,Niger-Congo,Low income,1194.94681370387,Low,0.915,17.6555373481347,43.22195252649,34.9089728751407,Agriculture-significant,0.21312,20.2124925027847,14047786.0,Medium,533.078271028037,Very-dense,2.5839340108674,24.8302838651025,Rural,4.789,High,2.53180465590806,Young,63.818,Medium,30.5,9.09471226,4.87114173892375,8.595999718,Low,11.6,0
