,gdp_per_capita_ppp,unemployment_rate,industry_pct_gdp,services_pct_gdp,agriculture_pct_gdp,rd_expenditure_pct_gdp,inflation_pct,population_total,population_density,population_growth_pct,urban_population_pct,fertility_rate,pop_65_plus_pct,life_expectancy,infant_mortality,health_expenditure_pct_gdp,education_expenditure_pct_gdp,internet_users_pct,electricity_access_pct,land_area_km2
gdp_per_capita_ppp,1.0,-0.1753,0.0191,0.4901,-0.6172,0.5059,-0.1616,-0.0639,0.3046,-0.1212,0.5703,-0.6166,0.6213,0.7437,-0.6131,0.1436,-0.0277,0.6601,0.469,0.0469
unemployment_rate,-0.1753,1.0,0.0319,-0.0053,-0.1246,-0.1337,0.0712,-0.084,-0.0961,-0.0083,0.064,0.0668,-0.1046,-0.1418,0.1248,0.0583,0.0547,-0.0196,-0.0243,-0.0612
industry_pct_gdp,0.0191,0.0319,1.0,-0.6325,-0.0954,-0.0501,0.0064,0.085,-0.1757,0.2429,0.0123,0.0677,-0.2293,-0.0521,0.0616,-0.3033,-0.1222,0.0746,-0.0611,0.1225
services_pct_gdp,0.4901,-0.0053,-0.6325,1.0,-0.5864,0.3281,-0.1216,-0.0693,0.3212,-0.363,0.4204,-0.558,0.5737,0.5443,-0.4968,0.3192,0.1514,0.4651,0.4639,-0.0413
agriculture_pct_gdp,-0.6172,-0.1246,-0.0954,-0.5864,1.0,-0.3826,0.1128,0.0472,-0.1328,0.3979,-0.5753,0.7555,-0.6059,-0.7117,0.6995,-0.1609,-0.0514,-0.7915,-0.6404,-0.0453
rd_expenditure_pct_gdp,0.5059,-0.1337,-0.0501,0.3281,-0.3826,1.0,-0.0991,0.1035,0.044,-0.1985,0.2936,-0.3468,0.5544,0.5057,-0.4261,0.3734,0.1873,0.4206,0.2849,0.1196
inflation_pct,-0.1616,0.0712,0.0064,-0.1216,0.1128,-0.0991,1.0,0.0105,-0.0426,0.0691,-0.046,0.1459,-0.1451,-0.1798,0.2274,-0.0494,-0.1447,-0.1722,-0.1845,0.0785
population_total,-0.0639,-0.084,0.085,-0.0693,0.0472,0.1035,0.0105,1.0,-0.0257,-0.0304,-0.049,-0.043,-0.0092,-0.0141,0.0191,-0.0769,-0.0682,0.0097,0.0455,0.445
population_density,0.3046,-0.0961,-0.1757,0.3212,-0.1328,0.044,-0.0426,-0.0257,1.0,-0.0708,0.2277,-0.1444,0.2238,0.2169,-0.1289,-0.1012,-0.1148,0.131,0.0873,-0.0647
population_growth_pct,-0.1212,-0.0083,0.2429,-0.363,0.3979,-0.1985,0.0691,-0.0304,-0.0708,1.0,-0.1549,0.5709,-0.5491,-0.3667,0.4723,-0.2723,-0.1653,-0.4407,-0.5237,0.0389
urban_population_pct,0.5703,0.064,0.0123,0.4204,-0.5753,0.2936,-0.046,-0.049,0.2277,-0.1549,1.0,-0.501,0.4297,0.5658,-0.5211,0.22,0.0477,0.6363,0.4754,0.1056
fertility_rate,-0.6166,0.0668,0.0677,-0.558,0.7555,-0.3468,0.1459,-0.043,-0.1444,0.5709,-0.501,1.0,-0.7083,-0.8242,0.8266,-0.1945,-0.0843,-0.8195,-0.7872,-0.0386
pop_65_plus_pct,0.6213,-0.1046,-0.2293,0.5737,-0.6059,0.5544,-0.1451,-0.0092,0.2238,-0.5491,0.4297,-0.7083,1.0,0.7413,-0.6743,0.3084,0.0394,0.6369,0.5209,0.0538
life_expectancy,0.7437,-0.1418,-0.0521,0.5443,-0.7117,0.5057,-0.1798,-0.0141,0.2169,-0.3667,0.5658,-0.8242,0.7413,1.0,-0.8868,0.1835,0.0808,0.7962,0.7272,0.0179
infant_mortality,-0.6131,0.1248,0.0616,-0.4968,0.6995,-0.4261,0.2274,0.0191,-0.1289,0.4723,-0.5211,0.8266,-0.6743,-0.8868,1.0,-0.2235,-0.1861,-0.8076,-0.7952,-0.0499
health_expenditure_pct_gdp,0.1436,0.0583,-0.3033,0.3192,-0.1609,0.3734,-0.0494,-0.0769,-0.1012,-0.2723,0.22,-0.1945,0.3084,0.1835,-0.2235,1.0,0.473,0.1535,0.1669,0.0876
education_expenditure_pct_gdp,-0.0277,0.0547,-0.1222,0.1514,-0.0514,0.1873,-0.1447,-0.0682,-0.1148,-0.1653,0.0477,-0.0843,0.0394,0.0808,-0.1861,0.473,1.0,0.1484,0.1944,0.0238
internet_users_pct,0.6601,-0.0196,0.0746,0.4651,-0.7915,0.4206,-0.1722,0.0097,0.131,-0.4407,0.6363,-0.8195,0.6369,0.7962,-0.8076,0.1535,0.1484,1.0,0.8106,0.0808
electricity_access_pct,0.469,-0.0243,-0.0611,0.4639,-0.6404,0.2849,-0.1845,0.0455,0.0873,-0.5237,0.4754,-0.7872,0.5209,0.7272,-0.7952,0.1669,0.1944,0.8106,1.0,0.0247
land_area_km2,0.0469,-0.0612,0.1225,-0.0413,-0.0453,0.1196,0.0785,0.445,-0.0647,0.0389,0.1056,-0.0386,0.0538,0.0179,-0.0499,0.0876,0.0238,0.0808,0.0247,1.0
